Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.33,52.112,53.697,55.285,56.778,58.228,59.656,61.002,62.31,63.475,64.45,65.607,66.373,67.183,67.864,68.466,69.118,69.604,69.978,70.456,70.826,71.183,71.47,71.668,72.012,72.106,72.269,72.369,72.444,72.619,72.668,72.764,72.953,73.375,73.517,73.799,74.355,74.535,74.641,74.98,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,78.084,78.461,78.748,78.89,79.081,79.246,79.328,79.405,79.557,79.689,79.857,80.019,79.174,
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.896,63.185,63.433,63.732,64.05,64.362,64.659,64.948,65.328,65.646,65.926,66.151,66.413,66.488,67.001,67.221,67.84,67.88,67.562,67.366,67.521,67.746,68.436,69.161,69.351,69.257,69.285,68.924,69.215,69.598,70.133,69.616,70.668,70.656,70.851,70.763,70.71,71.054,71.456,71.771,72.041,72.11,72.232,72.402,72.478,72.765,72.855,72.678,72.667,72.579,72.731,72.564,72.753,73.024,73.366,73.104,73.537,73.632,73.806,71.205,72.677,
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.037,61.856,62.511,63.274,63.948,64.555,65.171,65.553,65.883,66.2,66.688,67.163,67.672,68.216,68.862,69.405,69.648,70.041,70.132,70.34,70.543,70.7,70.875,71.081,71.036,70.799,71.239,71.676,71.755,71.781,72.349,72.089,51.785,51.519,67.209,70.284,73.43,73.686,73.901,75.076,74.496,75.06,74.612,75.782,76.133,75.42,76.247,76.161,76.838,76.976,77.073,77.007,77.191,76.33,75.659,76.182,76.808,76.935,77.093,77.241,76.225,
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.25460976,69.73839024,69.46231707,69.70978049,70.6192439,70.5974878,70.76892683,70.92978049,70.81278049,70.97802439,70.7444878,71.01170732,70.84931707,71.00065854,70.85468293,70.45709756,70.39682927,70.28902439,70.08173171,69.93363415,69.92770732,69.9075122,70.07690244,69.79485366,69.56319512,70.99268293,71.5495122,70.9902439,71.34146341,71.48292683,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.51219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171,73.62439024,73.82682927,74.12926829,74.17560976,74.22682927,74.22682927,
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.163,53.356,59,59.569,60.057,60.629,60.963,61.5,62.192,62.77,63.468,64.204,64.453,64.622,65.03,65.942,66.268,66.518,66.885,67.399,67.756,68.068,67.955,68.14,68.64,69.462,69.704,70.198,70.781,70.724,70.744,70.248,69.979,69.988,70.316,69.887,69.806,69.212,68.599,68.773,68.564,68.357,68.752,68.909,69.227,69.376,70.093,70.655,71.151,71.819,72.272,72.651,73.245,73.666,73.311,73.187,73.399,73.562,73.703,73.931,72.854,
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,68.89780488,,,,,70.29,,,,,,,,,,72.30463415,,,,,,,,,,,74.0295122,,,,,,,,,77.88536585,77.88536585,78.08780488,78.33414634,78.48536585,78.68536585,78.88780488,78.93414634,79.23658537,79.38843902,79.28853659,81.15268293,81.67780488,80.57243902,80.79731707,81.01219512,81.22707317,81.44195122,81.65170732,81.86658537,82.05609756,
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,43.1,43.4,43.791,44.077,44.366,44.712,45.118,45.419,45.796,46.215,46.597,47.061,47.497,47.975,48.446,48.826,49.264,49.734,50.181,50.665,51.181,51.619,52.053,52.405,52.971,53.446,53.929,54.492,55.156,55.772,56.422,57.097,57.629,58.418,58.989,59.534,60.084,60.752,61.332,61.871,62.346,62.843,63.306,63.635,64.004,64.386,64.779,65.027,65.446,65.88,66.162,66.534,66.705,67.021,67.163,67.318,67.628,67.701,67.748,67.841,64.467,
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.66,53.183,53.71,54.209,54.648,55.084,55.473,55.868,56.31,56.748,57.171,57.586,58.032,58.472,58.881,59.353,59.792,60.24,60.72,61.253,61.781,62.333,62.856,63.331,63.773,64.198,64.64,65.08,65.454,65.868,65.985,66.31,66.708,67.109,67.568,67.919,68.409,68.813,69.189,69.524,69.737,70.195,70.41,70.72,71.131,71.753,72.037,72.365,72.715,72.948,73.182,73.343,73.552,73.918,74.306,74.332,74.442,74.827,75.109,75.338,74.009,
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.564,65.318,65.897,66.487,67.02,67.376,67.805,67.944,68.114,68.44,68.272,68.598,68.929,69.167,69.519,69.921,70.208,70.719,71.122,71.526,71.921,72.12,72.297,72.537,72.596,72.495,72.568,72.675,72.652,72.74,72.752,72.843,72.915,73.19,73.211,73.298,73.546,73.547,73.728,74.039,74.089,74.247,74.366,74.472,74.727,74.89,75.068,75.342,75.447,75.678,75.712,75.917,76.099,76.275,76.476,76.65,76.815,76.936,77.067,77.257,77.393,
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.793,57.817,57.667,59.779,60.582,61.193,61.963,62.511,63.005,63.553,64.11,64.699,65.35,65.963,66.528,67.107,67.608,68.075,68.487,68.862,69.246,69.54,69.841,70.09,70.358,70.582,70.847,71.019,71.236,71.445,71.656,71.871,72.081,72.312,72.553,72.816,73.1,73.364,73.619,73.863,74.08,74.276,74.426,74.561,74.65,74.731,74.783,74.818,74.84,74.846,74.849,74.858,74.827,74.799,74.779,74.75,74.733,74.722,74.712,74.748,74.795,
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.465,33.946,34.469,35.029,35.618,36.24,36.901,37.584,38.266,39.127,39.953,40.753,41.586,42.451,43.265,44.09,44.947,45.789,46.599,47.411,48.218,49.034,49.853,50.637,51.4,52.118,52.919,53.72,54.513,55.261,55.968,56.642,57.423,58.117,58.635,59.516,60.212,60.852,61.549,62.23,62.01,63.444,64.078,64.696,65.268,65.805,66.362,66.954,67.499,67.897,68.43,68.881,69.326,69.707,70.049,70.343,70.602,70.847,71.129,71.391,71.609,
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.372,50.891,51.389,51.881,52.349,52.809,53.264,53.721,54.188,54.684,55.197,55.745,56.3,56.861,57.424,57.998,58.583,59.169,59.691,60.176,60.646,61.125,61.57,62.004,62.364,62.626,62.678,62.522,61.755,61.427,60.533,59.473,58.348,57.719,56.154,55.059,54.357,53.448,52.523,51.694,51.011,50.676,50.632,50.947,51.617,52.61,53.918,55.732,57.121,58.279,60.013,60.53,60.8,61.996,62.608,63.818,65.464,66.753,65.422,65.464,65.647,
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,39.236,39.737,40.256,40.781,41.345,41.929,42.531,43.158,43.797,44.442,45.072,45.688,46.294,46.854,47.402,47.913,48.395,48.838,49.239,49.597,49.889,50.159,50.303,50.423,50.484,50.518,50.492,50.409,50.241,49.986,49.635,49.252,48.793,48.353,47.853,47.35,46.831,46.319,46.025,45.75,45.406,45.393,45.409,45.76,46.038,46.433,46.851,47.426,48.016,48.648,49.255,49.948,50.686,50.902,50.566,52.793,53.46,53.721,54.369,55.025,54.604,
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.13317073,71.34609756,71.36707317,71.38073171,71.77634146,71.87219512,72.00439024,72.20780488,72.35341463,72.50146341,72.7004878,73.02926829,72.93390244,73.16268293,73.23756098,73.52170732,73.85609756,74.21560976,74.5297561,74.86634146,75.07804878,75.46341463,75.76341463,76.06585366,76.21707317,76.36829268,76.5195122,76.7195122,76.9195122,77.1195122,77.42195122,77.62195122,77.72439024,77.82439024,77.82682927,78.02926829,78.1804878,78.43170732,78.63414634,78.88536585,79.13658537,79.33902439,79.4902439,79.74146341,79.89268293,80.19268293,80.34390244,80.54390244,80.69512195,80.99512195,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,81.9,81.9,82.04878049,82.04878049,81.74878049,
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.93395196,68.23593223,67.69016198,68.67400263,69.17022699,69.32345959,69.82345537,69.32427448,69.55510956,69.05473926,69.33041521,69.50148114,69.96063416,70.10027745,70.35208632,70.17597267,70.32058987,70.24597306,70.14466576,70.24776109,69.88898462,70.37205018,70.45547332,70.38978517,70.34911486,70.31288347,70.56513604,70.61176333,70.86170823,70.73197226,70.65633134,70.5752213,70.73283713,70.84598662,70.86954394,71.02542143,71.33605802,71.51725807,71.89823768,72.18456107,72.71972472,73.09614819,73.24241549,73.38225278,73.73043493,73.84499514,74.09260273,74.25064872,74.57595268,74.93036393,75.29396578,75.88847488,75.9934886,76.35516299,76.67562361,76.57187776,76.96981142,76.94744264,76.97682268,77.26684467,76.14403428,
Switzerland,CHE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.31341463,71.64487805,71.19609756,71.18756098,72.07780488,72.20170732,72.33560976,72.63658537,72.5902439,72.61268293,73.0202439,73.13073171,73.64439024,73.94097561,74.28707317,74.66560976,74.78536585,75.23804878,75.18731707,75.46609756,75.45926829,75.69317073,76.03390244,76.03121951,76.60853659,76.73365854,76.89902439,77.19756098,77.22658537,77.42121951,77.24243902,77.51463415,77.80609756,78.08536585,78.35,78.41707317,78.89609756,79.0795122,79.32439024,79.5804878,79.6804878,80.1804878,80.38536585,80.53658537,81.08780488,81.23658537,81.4902439,81.74146341,81.99268293,82.04390244,82.24634146,82.69512195,82.69756098,82.79756098,83.19756098,82.89756098,83.60243902,83.55121951,83.75365854,83.90487805,83.1,
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.47,69.747,72.043,70.305,72.476,72.031,72.366,73.235,71.206,71.508,71.165,71.685,71.868,72.148,72.237,71.651,72.57,72.833,73.211,72.509,73.428,73.858,74.87,74.041,76.076,75.266,75.616,76.623,77.045,77.211,77.185,76.617,78.125,76.547,78.005,77.749,77.962,78.211,78.898,78.935,79.155,79.277,78.906,79.618,80.125,80.344,80.694,81.166,81.317,80.995,81.12,81.726,81.339,81.516,81.884,81.433,81.366,81.331,81.375,81.39,81.264,
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.015,57.537,57.771,57.15,58.738,59.455,59.689,60.72,61.63,61.905,62.491,62.732,62.281,63.905,64.901,66.279,65.855,67.402,68.074,68.186,68.84,69.909,70.299,70.011,70.46,71.176,71.81,72.54,72.456,72.467,72.574,73.574,74.135,74.195,74.614,74.609,74.899,75.596,75.669,76.018,76.87,76.773,77.445,77.387,77.616,78.016,78.261,77.826,78.484,78.741,78.501,79.11,79.023,79.339,79.473,79.746,80.079,80.35,80.133,80.326,79.377,
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,33.275,40.468,50.818,51.408,52.156,52.912,53.637,54.351,55.057,55.738,56.607,57.565,58.418,59.389,60.168,60.917,61.796,62.538,63.218,63.865,64.42,64.975,65.463,65.904,66.3,66.643,66.97,67.288,67.581,67.838,68.005,68.169,68.734,69.216,69.52,70.008,70.266,70.672,71.172,71.419,71.881,72.606,72.985,73.371,73.748,74.111,74.504,74.762,74.872,75.343,75.599,75.903,76.192,76.452,76.717,76.977,77.218,77.248,77.744,77.968,78.077,
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.108,38.744,39.402,39.955,40.606,41.177,41.819,42.419,43.021,43.643,44.325,44.992,45.724,46.556,47.506,48.346,49.291,50.184,50.927,51.682,52.27,52.734,52.919,53.171,53.037,53.174,53.202,53.187,53.017,52.876,52.603,52.323,52.138,51.925,51.737,51.61,51.52,51.449,51.108,50.957,50.842,50.81,50.886,50.954,51.363,51.824,52.355,52.97,53.653,54.394,55.023,55.52,56.158,56.748,57.208,57.762,58.06,58.48,58.849,59.319,59.032,
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,34.819,35.406,42.516,42.918,43.31,43.889,44.436,45.176,45.978,46.821,47.583,48.251,48.9,49.324,49.571,49.718,49.88,49.995,50.28,50.575,51.041,51.517,52.085,52.762,53.22,53.899,54.037,54.724,54.934,54.947,54.868,54.658,54.481,54.062,53.528,53.222,52.82,52.737,52.582,52.695,52.932,53.142,53.415,53.883,54.178,54.362,54.856,55.165,55.655,56.102,56.582,57.133,57.792,58.476,58.935,59.658,60.233,60.81,61.18,61.584,60.833,
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,40.857,40.239,40.342,40.604,40.052,40.704,42.053,42.31,42.705,42.976,43.284,43.656,43.933,44.096,44.41,44.471,44.656,44.763,44.537,45.207,45.473,45.72,45.92,46.181,46.445,46.624,46.914,47.336,47.768,48.17,48.601,48.948,49.244,49.551,49.884,50.411,49.307,50.402,49.696,49.945,51.781,52.116,52.333,52.827,53.426,53.927,54.534,54.923,55.339,55.836,56.417,57.069,57.248,57.762,58.296,58.49,59.066,59.411,59.942,60.276,59.739,
